Sentence,Category
Saya suka makan nasi goreng.,food
Dia memakai kemeja putih hari ini.,clothing
Ayah saya sangat suka rendang.,food
Saya butuh jaket baru untuk musim dingin.,clothing
Kami sering makan bakso di sore hari.,food
Mereka membeli baju baru di pasar.,clothing
Saya memesan sate ayam untuk makan malam.,food
Ibu saya suka memakai rok panjang.,clothing
Kami selalu minum jus jeruk di pagi hari.,food
Adik saya senang makan es krim.,food
Dia sedang mencari celana jeans yang nyaman.,clothing
Saya sarapan dengan roti bakar dan teh.,food
Dia membawa salad untuk makan siang.,food
Mereka makan ikan bakar di restoran.,food
Kami memesan pizza untuk acara ulang tahun.,food
Dia selalu memakai sweater saat cuaca dingin.,clothing
Saya suka makan mie goreng setiap malam.,food
Dia suka memakai topi saat bepergian.,clothing
Kami sering makan pempek di rumah.,food
Dia membeli gaun baru untuk pesta.,clothing
Saya suka makan martabak manis.,food
Dia mengenakan sepatu olahraga ke gym.,clothing
Kami makan nasi uduk di pagi hari.,food
Dia suka memakai blus merah.,clothing
Saya sering makan soto ayam saat hujan.,food
Dia membeli celana pendek untuk liburan.,clothing
Kami suka makan gudeg di Yogyakarta.,food
Dia mengenakan kacamata hitam di pantai.,clothing
Saya makan ketoprak untuk sarapan.,food
Dia memakai jaket kulit di malam hari.,clothing
Kami minum kopi setiap pagi.,food
Dia suka makan rendang di restoran Padang.,food
Saya membeli sandal baru di toko.,clothing
Kami sering makan serabi di sore hari.,food
Dia selalu memakai kardigan saat bekerja.,clothing
Saya suka makan sate lilit di Bali.,food
Dia membeli tas baru di pasar malam.,clothing
Kami makan gado-gado untuk makan siang.,food
Dia memakai jas saat pertemuan bisnis.,clothing
Saya makan rujak cingur di Malang.,food
Dia memakai topi bisbol saat berolahraga.,clothing
Kami minum teh hijau setiap sore.,food
Dia suka makan tekwan di Palembang.,food
Saya memakai piyama saat tidur.,clothing
Kami sering makan soto betawi di Jakarta.,food
Dia membeli dasi kupu-kupu untuk pesta.,clothing
Saya suka makan lontong sayur di pagi hari.,food
Dia memakai sepatu bot saat hujan.,clothing
Kami makan pecel lele di warung makan.,food
Dia membeli kupluk untuk musim dingin.,clothing
Saya makan bubur ayam untuk sarapan.,food
Dia suka memakai blus putih.,clothing
Kami sering makan otak-otak di rumah.,food
Dia memakai sarung tangan saat berkebun.,clothing
Saya suka makan kue cubit di sore hari.,food
Dia membeli celana cargo untuk hiking.,clothing
Kami makan ayam betutu di Bali.,food
Dia mengenakan baju formal untuk rapat.,clothing
Saya makan bubur kacang hijau setiap pagi.,food
Dia memakai mantel saat salju turun.,clothing
Kami suka makan tahu goreng di rumah.,food
Dia memakai sepatu bot saat musim hujan.,clothing
Saya makan nasi kuning di acara ulang tahun.,food
Dia membeli dasi baru untuk bekerja.,clothing
Kami sering makan singkong keju di sore hari.,food
Dia mengenakan kemeja flanel saat jalan-jalan.,clothing
Saya suka makan getuk di sore hari.,food
Dia membeli celana chino untuk bekerja.,clothing
Kami makan nasi padang di restoran.,food
Dia memakai rompi saat bersepeda.,clothing
Saya makan tahu sumedang saat di Bandung.,food
Dia membeli jaket denim untuk musim gugur.,clothing
Kami sering makan batagor di Bandung.,food
Dia suka memakai baju tidur saat liburan.,clothing
Saya makan pisang goreng di sore hari.,food
Dia membeli sepatu baru di toko.,clothing
Kami makan siomay di pasar malam.,food
Dia memakai kardigan saat bekerja.,clothing
Saya suka makan bubur sumsum di pagi hari.,food
Dia membeli rok maxi untuk pesta.,clothing
Kami sering makan empal gentong di Cirebon.,food
Dia suka memakai topi saat berjalan-jalan.,clothing
Saya makan mie aceh di restoran.,food
Dia membeli gaun baru untuk acara.,clothing
Kami makan nasi timbel di warung.,food
Dia suka memakai blus biru.,food
Saya makan lontong balap di Surabaya.,food
Dia membeli celana kulot untuk bekerja.,clothing
Kami sering makan karedok di rumah.,food
Dia suka memakai sepatu olah raga saat jogging.,clothing
Saya makan martabak telur di malam hari.,food
Dia membeli tas baru di pusat perbelanjaan.,clothing
Kami makan coto makassar di restoran.,food
Dia mengenakan baju pengantin saat pernikahan.,clothing
Saya suka makan bika ambon di sore hari.,food
Dia membeli celana high-waist untuk bekerja.,clothing
